Year,Vehicle_ID,Route_Type,Weather,Distance_Travelled_km,Vehicle_Age_km,Efficiency_kWh_per_km,Energy_Consumption_kWh,Charging_Cost_USD,Maintenance_Cost_USD,Operational_Cost_USD
2019-12-29,EV001,urban,cold,614.36,95121.09,0.269,190.07,47.52,0,47.52
2020-01-05,EV001,urban,cold,437.68,95558.76999999999,0.2691,135.45,40.63,0,40.63
2020-01-12,EV001,urban,cold,258.84,95817.60999999999,0.2692,80.12,9.61,0,9.61
2020-01-19,EV001,urban,cold,695.64,96513.24999999999,0.2693,215.44,64.63,0,64.63
2020-01-26,EV001,rural,cold,1019.91,97533.15999999999,0.2695,316.1,94.83,0,94.83
2020-02-02,EV001,urban,cold,288.78,97821.93999999999,0.2696,89.52,22.38,0,22.38
2020-02-09,EV001,rural,cold,654.22,98476.15999999999,0.2697,202.91,24.35,0,24.35
2020-02-16,EV001,highway,cold,861.18,99337.33999999998,0.2699,267.27,32.07,0,32.07
2020-02-23,EV001,rural,cold,833.38,100170.71999999999,0.27,258.8,64.7,2500,2564.7
2020-03-01,EV001,rural,mild,681.3,100852.01999999999,0.2702,184.07,46.02,2500,2546.02
2020-03-08,EV001,rural,mild,699.56,101551.57999999999,0.2703,189.1,47.27,0,47.27
2020-03-15,EV001,rural,mild,1154.95,102706.52999999998,0.2705,312.46,93.74,0,93.74
2020-03-22,EV001,urban,mild,202.67,102909.19999999998,0.2706,54.84,13.71,0,13.71
2020-03-29,EV001,urban,mild,620.0,103529.19999999998,0.2707,167.84,50.35,0,50.35
2020-04-05,EV001,urban,mild,370.99,103900.18999999999,0.2708,100.46,30.14,0,30.14
2020-04-12,EV001,highway,mild,1300.05,105200.23999999999,0.271,352.37,42.28,0,42.28
2020-04-19,EV001,urban,mild,376.85,105577.09,0.2711,102.17,12.26,0,12.26
2020-04-26,EV001,urban,mild,309.89,105886.98,0.2712,84.04,21.01,0,21.01
2020-05-03,EV001,rural,mild,1095.01,106981.98999999999,0.2714,297.18,74.3,0,74.3
2020-05-10,EV001,rural,mild,535.54,107517.52999999998,0.2715,145.4,17.45,0,17.45
2020-05-17,EV001,highway,mild,1779.47,109296.99999999999,0.2719,483.77,120.94,0,120.94
2020-05-24,EV001,highway,mild,1663.56,110960.55999999998,0.2722,452.81,54.34,0,54.34
2020-05-31,EV001,urban,mild,286.69,111247.24999999999,0.2722,78.05,23.41,0,23.41
2020-06-07,EV001,rural,hot,535.19,111782.43999999999,0.2724,160.34,48.1,0,48.1
2020-06-14,EV001,urban,hot,545.44,112327.87999999999,0.2725,163.47,19.62,0,19.62
2020-06-21,EV001,highway,hot,1387.7,113715.57999999999,0.2727,416.33,104.08,0,104.08
2020-06-28,EV001,highway,hot,1458.1,115173.68,0.273,437.92,131.38,0,131.38
2020-07-05,EV001,rural,hot,591.52,115765.2,0.2732,177.73,44.43,0,44.43
2020-07-12,EV001,urban,hot,384.3,116149.5,0.2732,115.5,28.88,0,28.88
2020-07-19,EV001,highway,hot,1469.23,117618.73,0.2735,442.06,53.05,0,53.05
2020-07-26,EV001,highway,hot,1410.23,119028.95999999999,0.2738,424.74,106.19,0,106.19
2020-08-02,EV001,highway,hot,1607.65,120636.60999999999,0.2741,484.77,145.43,200,345.43
2020-08-09,EV001,rural,hot,1038.72,121675.32999999999,0.2743,313.45,78.36,0,78.36
2020-08-16,EV001,highway,hot,945.21,122620.54,0.2745,285.43,85.63,0,85.63
2020-08-23,EV001,rural,hot,886.08,123506.62,0.2747,267.75,80.33,0,80.33
2020-08-30,EV001,rural,hot,993.71,124500.33,0.2749,300.49,36.06,0,36.06
2020-09-06,EV001,urban,mild,487.67,124988.0,0.275,134.11,40.23,0,40.23
2020-09-13,EV001,highway,mild,1652.07,126640.07,0.2753,454.86,136.46,0,136.46
2020-09-20,EV001,highway,mild,1322.95,127963.02,0.2756,364.6,43.75,0,43.75
2020-09-27,EV001,highway,mild,1065.98,129029.0,0.2758,294.0,35.28,0,35.28
2020-10-04,EV001,rural,mild,521.95,129550.95,0.2759,144.01,17.28,0,17.28
2020-10-11,EV001,urban,mild,205.96,129756.91,0.276,56.83,17.05,0,17.05
2020-10-18,EV001,rural,mild,741.61,130498.52,0.2761,204.76,61.43,0,61.43
2020-10-25,EV001,urban,mild,355.5,130854.02,0.2762,98.18,24.55,0,24.55
2020-11-01,EV001,rural,mild,765.24,131619.26,0.2763,211.45,52.86,0,52.86
2020-11-08,EV001,urban,mild,273.22,131892.48,0.2764,75.51,9.06,0,9.06
2020-11-15,EV001,highway,mild,1141.77,133034.25,0.2766,315.82,78.95,0,78.95
2020-11-22,EV001,highway,mild,1792.64,134826.89,0.277,496.5,148.95,0,148.95
2020-11-29,EV001,rural,mild,1063.69,135890.58000000002,0.2772,294.83,35.38,0,35.38
2020-12-06,EV001,urban,cold,542.86,136433.44,0.2773,173.11,51.93,0,51.93
2020-12-13,EV001,rural,cold,1007.38,137440.82,0.2775,321.47,38.58,0,38.58
2020-12-20,EV001,urban,cold,402.79,137843.61000000002,0.2776,128.57,32.14,0,32.14
2020-12-27,EV001,highway,cold,1343.12,139186.73,0.2778,429.14,51.5,0,51.5
2021-01-03,EV001,highway,cold,1604.43,140791.16,0.2782,513.23,153.97,0,153.97
2021-01-10,EV001,highway,cold,1749.93,142541.09,0.2785,560.48,140.12,0,140.12
2021-01-17,EV001,rural,cold,624.73,143165.82,0.2786,200.18,24.02,0,24.02
2021-01-24,EV001,rural,cold,567.59,143733.41,0.2787,181.95,21.83,0,21.83
2021-01-31,EV001,rural,cold,853.84,144587.25,0.2789,273.87,68.47,0,68.47
2021-02-07,EV001,highway,cold,1033.45,145620.7,0.2791,331.73,39.81,0,39.81
2021-02-14,EV001,rural,cold,1085.48,146706.18000000002,0.2793,348.7,41.84,0,41.84
2021-02-21,EV001,urban,cold,688.43,147394.61000000002,0.2795,221.26,66.38,0,66.38
2021-02-28,EV001,urban,cold,639.19,148033.80000000002,0.2796,205.53,61.66,0,61.66
2021-03-07,EV001,urban,mild,599.9,148633.7,0.2797,167.81,41.95,0,41.95
2021-03-14,EV001,rural,mild,938.81,149572.51,0.2799,262.79,65.7,0,65.7
2021-03-21,EV001,highway,mild,1533.44,151105.95,0.2802,429.7,51.56,0,51.56
2021-03-28,EV001,rural,mild,1136.67,152242.62000000002,0.2804,318.78,79.69,0,79.69
2021-04-04,EV001,highway,mild,914.55,153157.17,0.2806,256.65,76.99,0,76.99
2021-04-11,EV001,highway,mild,1478.98,154636.15000000002,0.2809,415.49,103.87,0,103.87
2021-04-18,EV001,urban,mild,585.02,155221.17,0.281,164.42,49.33,0,49.33
2021-04-25,EV001,rural,mild,595.42,155816.59000000003,0.2812,167.41,41.85,0,41.85
2021-05-02,EV001,highway,mild,1688.5,157505.09000000003,0.2815,475.31,142.59,0,142.59
2021-05-09,EV001,highway,mild,1358.25,158863.34000000003,0.2818,382.72,114.82,0,114.82
2021-05-16,EV001,urban,mild,227.81,159091.15000000002,0.2818,64.2,16.05,0,16.05
2021-05-23,EV001,urban,mild,340.95,159432.10000000003,0.2819,96.11,28.83,0,28.83
2021-05-30,EV001,rural,mild,1157.16,160589.26000000004,0.2821,326.46,39.18,0,39.18
2021-06-06,EV001,urban,hot,443.35,161032.61000000004,0.2822,137.63,41.29,0,41.29
2021-06-13,EV001,urban,hot,564.56,161597.17000000004,0.2823,175.32,52.6,0,52.6
2021-06-20,EV001,highway,hot,1416.08,163013.25000000003,0.2826,440.21,52.83,0,52.83
2021-06-27,EV001,highway,hot,1681.88,164695.13000000003,0.2829,523.46,130.87,0,130.87
2021-07-04,EV001,urban,hot,268.67,164963.80000000005,0.283,83.63,25.09,0,25.09
2021-07-11,EV001,highway,hot,1782.92,166746.72000000006,0.2833,555.71,66.69,0,66.69
2021-07-18,EV001,rural,hot,762.59,167509.31000000006,0.2835,237.82,28.54,0,28.54
2021-07-25,EV001,highway,hot,1180.72,168690.03000000006,0.2837,368.52,92.13,0,92.13
2021-08-01,EV001,highway,hot,1409.73,170099.76000000007,0.284,440.43,132.13,0,132.13
2021-08-08,EV001,urban,hot,216.02,170315.78000000006,0.2841,67.5,20.25,0,20.25
2021-08-15,EV001,rural,hot,637.2,170952.98000000007,0.2842,199.19,23.9,0,23.9
2021-08-22,EV001,urban,hot,486.79,171439.77000000008,0.2843,152.23,38.06,0,38.06
2021-08-29,EV001,highway,hot,1975.98,173415.7500000001,0.2847,618.78,185.63,0,185.63
2021-09-05,EV001,urban,mild,430.19,173845.9400000001,0.2848,122.5,30.62,0,30.62
2021-09-12,EV001,rural,mild,858.03,174703.9700000001,0.2849,244.49,61.12,0,61.12
2021-09-19,EV001,rural,mild,866.25,175570.2200000001,0.2851,246.98,74.09,0,74.09
2021-09-26,EV001,highway,mild,1562.86,177133.08000000007,0.2854,446.08,111.52,0,111.52
2021-10-03,EV001,urban,mild,228.04,177361.12000000008,0.2855,65.1,16.27,0,16.27
2021-10-10,EV001,urban,mild,404.23,177765.3500000001,0.2856,115.43,34.63,0,34.63
2021-10-17,EV001,rural,mild,1122.55,178887.90000000008,0.2858,320.8,38.5,0,38.5
2021-10-24,EV001,highway,mild,1116.98,180004.8800000001,0.286,319.46,38.34,200,238.34
2021-10-31,EV001,urban,mild,622.58,180627.46000000008,0.2861,178.14,44.53,200,244.53
2021-11-07,EV001,highway,mild,1340.58,181968.04000000007,0.2864,383.93,95.98,0,95.98
2021-11-14,EV001,urban,mild,474.77,182442.81000000006,0.2865,136.02,16.32,0,16.32
2021-11-21,EV001,highway,mild,885.85,183328.66000000006,0.2867,253.94,63.48,0,63.48
2021-11-28,EV001,highway,mild,1406.55,184735.21000000005,0.2869,403.61,48.43,0,48.43
2021-12-05,EV001,highway,cold,1227.72,185962.93000000005,0.2872,405.48,121.64,0,121.64
2021-12-12,EV001,rural,cold,1043.51,187006.44000000006,0.2874,344.89,86.22,0,86.22
2021-12-19,EV001,rural,cold,744.84,187751.28000000006,0.2876,246.31,73.89,0,73.89
2021-12-26,EV001,urban,cold,594.5,188345.78000000006,0.2877,196.67,59.0,0,59.0
2022-01-02,EV001,urban,cold,432.96,188778.74000000005,0.2878,143.27,35.82,0,35.82
2022-01-09,EV001,highway,cold,1205.52,189984.26000000004,0.288,399.26,47.91,0,47.91
2022-01-16,EV001,rural,cold,559.14,190543.40000000005,0.2881,185.26,55.58,0,55.58
2022-01-23,EV001,rural,cold,1050.24,191593.64000000004,0.2883,348.22,87.06,0,87.06
2022-01-30,EV001,rural,cold,673.91,192267.55000000005,0.2885,223.55,67.06,0,67.06
2022-02-06,EV001,highway,cold,1831.64,194099.19000000006,0.2888,608.37,73.0,0,73.0
2022-02-13,EV001,urban,cold,270.1,194369.29000000007,0.2889,89.73,10.77,0,10.77
2022-02-20,EV001,highway,cold,927.84,195297.13000000006,0.2891,308.43,92.53,0,92.53
2022-02-27,EV001,urban,cold,604.72,195901.85000000006,0.2892,201.1,50.27,0,50.27
2022-03-06,EV001,rural,mild,1094.98,196996.83000000007,0.2894,316.89,38.03,0,38.03
2022-03-13,EV001,highway,mild,1562.28,198559.11000000007,0.2897,452.61,113.15,0,113.15
2022-03-20,EV001,rural,mild,529.37,199088.48000000007,0.2898,153.42,46.03,0,46.03
2022-03-27,EV001,urban,mild,474.31,199562.79000000007,0.2899,137.51,41.25,0,41.25
2022-04-03,EV001,highway,mild,1406.33,200969.12000000005,0.2902,408.11,122.43,2500,2622.43
2022-04-10,EV001,urban,mild,573.53,201542.65000000005,0.2903,166.5,19.98,0,19.98
2022-04-17,EV001,highway,mild,1712.99,203255.64000000004,0.2907,497.88,124.47,0,124.47
2022-04-24,EV001,urban,mild,357.81,203613.45000000004,0.2907,104.02,31.21,0,31.21
2022-05-01,EV001,urban,mild,562.62,204176.07000000004,0.2908,163.63,49.09,0,49.09
2022-05-08,EV001,rural,mild,1001.5,205177.57000000004,0.291,291.47,87.44,0,87.44
2022-05-15,EV001,highway,mild,1295.28,206472.85000000003,0.2913,377.31,113.19,0,113.19
2022-05-22,EV001,rural,mild,695.28,207168.13000000003,0.2914,202.63,24.32,0,24.32
2022-05-29,EV001,highway,mild,1616.36,208784.49000000002,0.2918,471.58,117.89,0,117.89
2022-06-05,EV001,highway,hot,1858.35,210642.84000000003,0.2921,597.16,179.15,200,379.15
2022-06-12,EV001,rural,hot,615.28,211258.12000000002,0.2923,197.8,49.45,0,49.45
2022-06-19,EV001,highway,hot,1689.39,212947.51000000004,0.2926,543.73,65.25,0,65.25
2022-06-26,EV001,highway,hot,1410.46,214357.97000000003,0.2929,454.39,54.53,0,54.53
2022-07-03,EV001,highway,hot,1439.18,215797.15000000002,0.2932,464.1,55.69,0,55.69
2022-07-10,EV001,urban,hot,259.91,216057.06000000003,0.2932,83.83,10.06,0,10.06
2022-07-17,EV001,urban,hot,379.76,216436.82000000004,0.2933,122.52,36.76,0,36.76
2022-07-24,EV001,highway,hot,1658.32,218095.14000000004,0.2936,535.61,133.9,0,133.9
2022-07-31,EV001,highway,hot,1847.69,219942.83000000005,0.294,597.52,149.38,0,149.38
2022-08-07,EV001,urban,hot,295.31,220238.14000000004,0.294,95.52,28.66,0,28.66
2022-08-14,EV001,highway,hot,955.76,221193.90000000005,0.2942,309.34,92.8,0,92.8
2022-08-21,EV001,urban,hot,209.85,221403.75000000006,0.2943,67.93,8.15,0,8.15
2022-08-28,EV001,highway,hot,1416.65,222820.40000000005,0.2946,459.02,114.75,0,114.75
2022-09-04,EV001,rural,mild,758.57,223578.97000000006,0.2947,223.56,67.07,0,67.07
2022-09-11,EV001,urban,mild,224.05,223803.02000000005,0.2948,66.04,7.92,0,7.92
2022-09-18,EV001,highway,mild,1243.72,225046.74000000005,0.295,366.91,44.03,0,44.03
2022-09-25,EV001,urban,mild,521.18,225567.92000000004,0.2951,153.81,18.46,0,18.46
2022-10-02,EV001,urban,mild,571.24,226139.16000000003,0.2952,168.65,42.16,0,42.16
2022-10-09,EV001,urban,mild,403.92,226543.08000000005,0.2953,119.28,29.82,0,29.82
2022-10-16,EV001,urban,mild,256.67,226799.75000000006,0.2954,75.81,22.74,0,22.74
2022-10-23,EV001,highway,mild,1291.44,228091.19000000006,0.2956,381.77,45.81,0,45.81
2022-10-30,EV001,urban,mild,362.8,228453.99000000005,0.2957,107.28,26.82,0,26.82
2022-11-06,EV001,highway,mild,1425.21,229879.20000000004,0.296,421.83,50.62,0,50.62
2022-11-13,EV001,highway,mild,1687.91,231567.11000000004,0.2963,500.15,60.02,0,60.02
2022-11-20,EV001,urban,mild,205.44,231772.55000000005,0.2964,60.88,7.31,0,7.31
2022-11-27,EV001,rural,mild,989.89,232762.44000000006,0.2966,293.55,88.06,0,88.06
2022-12-04,EV001,urban,cold,425.07,233187.51000000007,0.2966,145.01,36.25,0,36.25
2022-12-11,EV001,highway,cold,1931.55,235119.06000000006,0.297,659.77,79.17,0,79.17
2022-12-18,EV001,rural,cold,1083.7,236202.76000000007,0.2972,370.44,92.61,0,92.61
2022-12-25,EV001,urban,cold,306.44,236509.20000000007,0.2973,104.77,31.43,0,31.43
2023-01-01,EV001,highway,cold,1606.66,238115.86000000007,0.2976,549.91,164.97,0,164.97
2023-01-08,EV001,urban,cold,495.07,238610.93000000008,0.2977,169.5,42.38,0,42.38
2023-01-15,EV001,rural,cold,773.92,239384.8500000001,0.2979,265.11,79.53,0,79.53
2023-01-22,EV001,highway,cold,1537.24,240922.09000000008,0.2982,527.14,158.14,200,358.14
2023-01-29,EV001,rural,cold,1070.62,241992.71000000008,0.2984,367.39,110.22,0,110.22
2023-02-05,EV001,rural,cold,730.87,242723.58000000007,0.2985,250.93,30.11,0,30.11
2023-02-12,EV001,rural,cold,514.23,243237.81000000008,0.2986,176.61,21.19,0,21.19
2023-02-19,EV001,rural,cold,982.82,244220.6300000001,0.2988,337.77,101.33,0,101.33
2023-02-26,EV001,urban,cold,239.43,244460.06000000008,0.2989,82.3,20.57,0,20.57
2023-03-05,EV001,highway,mild,1702.83,246162.89000000007,0.2992,509.54,127.39,0,127.39
2023-03-12,EV001,highway,mild,1340.81,247503.70000000007,0.2995,401.57,120.47,0,120.47
2023-03-19,EV001,rural,mild,664.31,248168.01000000007,0.2996,199.05,59.72,0,59.72
2023-03-26,EV001,highway,mild,1010.08,249178.09000000005,0.2998,302.86,36.34,0,36.34
2023-04-02,EV001,urban,mild,548.21,249726.30000000005,0.2999,164.43,19.73,0,19.73
2023-04-09,EV001,highway,mild,1872.32,251598.62000000005,0.3003,562.29,140.57,0,140.57
2023-04-16,EV001,rural,mild,959.48,252558.10000000006,0.3005,288.33,34.6,0,34.6
2023-04-23,EV001,urban,mild,442.32,253000.42000000007,0.3006,132.96,39.89,0,39.89
2023-04-30,EV001,rural,mild,647.91,253648.33000000007,0.3007,194.85,58.45,0,58.45
2023-05-07,EV001,urban,mild,417.25,254065.58000000007,0.3008,125.51,15.06,0,15.06
2023-05-14,EV001,urban,mild,532.11,254597.69000000006,0.3009,160.12,19.21,0,19.21
2023-05-21,EV001,urban,mild,624.01,255221.70000000007,0.301,187.85,22.54,0,22.54
2023-05-28,EV001,rural,mild,866.86,256088.56000000006,0.3012,261.11,65.28,0,65.28
2023-06-04,EV001,rural,hot,606.61,256695.17000000004,0.3013,201.07,50.27,0,50.27
2023-06-11,EV001,rural,hot,1077.21,257772.38000000003,0.3016,357.32,42.88,0,42.88
2023-06-18,EV001,urban,hot,672.66,258445.04000000004,0.3017,223.23,55.81,0,55.81
2023-06-25,EV001,urban,hot,542.46,258987.50000000003,0.3018,180.08,54.02,0,54.02
2023-07-02,EV001,highway,hot,1004.19,259991.69000000003,0.302,333.59,100.08,0,100.08
2023-07-09,EV001,urban,hot,507.38,260499.07000000004,0.3021,168.61,20.23,0,20.23
2023-07-16,EV001,rural,hot,718.41,261217.48000000004,0.3022,238.85,59.71,0,59.71
2023-07-23,EV001,rural,hot,603.7,261821.18000000005,0.3024,200.79,50.2,0,50.2
